Traceback (most recent call last):
  File "/usr/lib/python3.10/runpy.py", line 196, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File "/usr/lib/python3.10/runpy.py", line 86, in _run_code
    exec(code, run_globals)
  File "/usr/lib/python3.10/http/server.py", line 1307, in <module>
    test(
  File "/usr/lib/python3.10/http/server.py", line 1258, in test
    with ServerClass(addr, HandlerClass) as httpd:
  File "/usr/lib/python3.10/socketserver.py", line 452, in __init__
    self.server_bind()
  File "/usr/lib/python3.10/http/server.py", line 1301, in server_bind
    return super().server_bind()
  File "/usr/lib/python3.10/http/server.py", line 137, in server_bind
    socketserver.TCPServer.server_bind(self)
  File "/usr/lib/python3.10/socketserver.py", line 466, in server_bind
    self.socket.bind(self.server_address)
OSError: [Errno 98] Address already in use
Traceback (most recent call last):
  File "/usr/lib/python3.10/runpy.py", line 196, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File "/usr/lib/python3.10/runpy.py", line 86, in _run_code
    exec(code, run_globals)
  File "/usr/lib/python3.10/http/server.py", line 1307, in <module>
    test(
  File "/usr/lib/python3.10/http/server.py", line 1258, in test
    with ServerClass(addr, HandlerClass) as httpd:
  File "/usr/lib/python3.10/socketserver.py", line 452, in __init__
    self.server_bind()
  File "/usr/lib/python3.10/http/server.py", line 1301, in server_bind
    return super().server_bind()
  File "/usr/lib/python3.10/http/server.py", line 137, in server_bind
    socketserver.TCPServer.server_bind(self)
  File "/usr/lib/python3.10/socketserver.py", line 466, in server_bind
    self.socket.bind(self.server_address)
OSError: [Errno 98] Address already in use
Traceback (most recent call last):
  File "/usr/lib/python3.10/runpy.py", line 196, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File "/usr/lib/python3.10/runpy.py", line 86, in _run_code
    exec(code, run_globals)
  File "/usr/lib/python3.10/http/server.py", line 1307, in <module>
    test(
  File "/usr/lib/python3.10/http/server.py", line 1258, in test
    with ServerClass(addr, HandlerClass) as httpd:
  File "/usr/lib/python3.10/socketserver.py", line 452, in __init__
    self.server_bind()
  File "/usr/lib/python3.10/http/server.py", line 1301, in server_bind
    return super().server_bind()
  File "/usr/lib/python3.10/http/server.py", line 137, in server_bind
    socketserver.TCPServer.server_bind(self)
  File "/usr/lib/python3.10/socketserver.py", line 466, in server_bind
    self.socket.bind(self.server_address)
OSError: [Errno 98] Address already in use
58.65.214.29 - - [16/Oct/2025 08:31:25] "GET /fonts/Inter/Inter-Italic.faebbae.woff2 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:25] "GET /bundles/6f661f6f3f18a5415d5a/unhomoglyph_data.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:25] "GET /fonts/Inter/Inter-Regular.bed7225.woff2 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:25] "GET /bundles/6f661f6f3f18a5415d5a/bundle.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:33] "GET /bundles/6f661f6f3f18a5415d5a/styles.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:33] "GET /bundles/6f661f6f3f18a5415d5a/element-web-app.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:33] "GET /bundles/6f661f6f3f18a5415d5a/230.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:33] "GET /bundles/6f661f6f3f18a5415d5a/641.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:33] "GET /img/e2e/warning.d370b49.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:33] "GET /img/warning.30e1625.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:33] "GET /img/feather-customised/warning-triangle.12e6910.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:33] "GET /img/format/code.ee67228.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:33] "GET /img/format/quote.69dadd8.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:33] "GET /img/format/bold.1075338.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:34] "GET /img/format/italics.395da20.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:34] "GET /bundles/6f661f6f3f18a5415d5a/48.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:34] "GET /bundles/6f661f6f3f18a5415d5a/init.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:34] "GET /img/format/strikethrough.bc12eda.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:34] "GET /media/message.ogg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:34] "GET /media/ring.ogg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:35] "GET /media/ringback.ogg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:35] "GET /media/callend.ogg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:35] "GET /media/busy.ogg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:35] "GET /olm.3fc8dbf.wasm HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:35] code 404, message File not found
58.65.214.29 - - [16/Oct/2025 08:31:35] "GET /config.91.99.219.182.json?cachebuster=1760603495515 HTTP/1.1" 404 -
58.65.214.29 - - [16/Oct/2025 08:31:36] "GET /config.json?cachebuster=1760603495515 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:36] "GET /media/error.ogg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:36] "GET /bundles/6f661f6f3f18a5415d5a/blurhash.worker.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:36] "GET /vector-icons/favicon.ae636ac.ico HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:37] "GET /bundles/6f661f6f3f18a5415d5a/theme-dark.css HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:37] "GET /i18n/languages.8705728.json HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:37] "GET /i18n/en_EN.cb5ed01.json HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:41] "GET /bundles/6f661f6f3f18a5415d5a/compatibility-view.css HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:41] "GET /bundles/6f661f6f3f18a5415d5a/compatibility-view.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:41] "GET /themes/element/img/logos/element-logo.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:41] "GET /themes/element/img/download/fdroid.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:41] "GET /themes/element/img/download/google.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:31:41] "GET /themes/element/img/download/apple.svg HTTP/1.1" 200 -
91.99.219.182 - - [16/Oct/2025 08:34:06] "GET / HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:35:23] code 404, message File not found
58.65.214.29 - - [16/Oct/2025 08:35:23] "GET /config.91.99.219.182.json?cachebuster=1760603723851 HTTP/1.1" 404 -
58.65.214.29 - - [16/Oct/2025 08:35:23] "GET /config.json?cachebuster=1760603723851 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:35:25] code 404, message File not found
58.65.214.29 - - [16/Oct/2025 08:35:25] "GET /config.91.99.219.182.json?cachebuster=1760603725339 HTTP/1.1" 404 -
58.65.214.29 - - [16/Oct/2025 08:35:25] "GET /config.json?cachebuster=1760603725340 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:35:27] "GET /config.json?cachebuster=1760603727824 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 08:35:27] code 404, message File not found
58.65.214.29 - - [16/Oct/2025 08:35:27] "GET /config.91.99.219.182.json?cachebuster=1760603727824 HTTP/1.1" 404 -
127.0.0.1 - - [16/Oct/2025 09:06:27] "GET / HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:08:06] code 404, message File not found
58.65.214.29 - - [16/Oct/2025 09:08:06] "GET /config.91.99.219.182.json?cachebuster=1760605686355 HTTP/1.1" 404 -
58.65.214.29 - - [16/Oct/2025 09:08:06] "GET /config.json?cachebuster=1760605686355 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:08:29] "GET /img/download.a6b50e0.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:08:29] "GET /version HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:08:34] "GET /img/spinner/spinner-background.334d97c.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:08:34] "GET /img/spinner/spinner-foreground.962dd16.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:08:34] "GET /bundles/6f661f6f3f18a5415d5a/theme-light.css HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:08:34] "GET /welcome.html HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:08:34] "GET /themes/element/img/backgrounds/lake.jpg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:08:34] "GET /img/feather-customised/dropdown-arrow.df9edbf.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:08:35] "GET /img/matrix.d1fcad6.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:08:35] "GET /welcome/images/icon-sign-in.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:08:35] "GET /welcome/images/icon-create-account.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:08:36] "GET /img/element-icons/i.c781d86.svg HTTP/1.1" 200 -
20.65.195.16 - - [16/Oct/2025 09:13:41] code 400, message Bad request syntax ('\\x00\\x00\\x00\\x02\\x01\\x00')
20.65.195.16 - - [16/Oct/2025 09:13:41] "\x00\x00\x00\x02\x01\x00" 400 -
127.0.0.1 - - [16/Oct/2025 09:16:44] "GET / HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:18:30] "GET /version HTTP/1.1" 304 -
58.65.214.29 - - [16/Oct/2025 09:19:06] "GET /config.json?cachebuster=1760606346694 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:19:06] code 404, message File not found
58.65.214.29 - - [16/Oct/2025 09:19:06] "GET /config.91.99.219.182.json?cachebuster=1760606346694 HTTP/1.1" 404 -
58.65.214.29 - - [16/Oct/2025 09:19:07] "GET /bundles/6f661f6f3f18a5415d5a/error-view.css HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:19:07] "GET /version HTTP/1.1" 304 -
58.65.214.29 - - [16/Oct/2025 09:19:07] "GET /bundles/6f661f6f3f18a5415d5a/error-view.js HTTP/1.1" 200 -
127.0.0.1 - - [16/Oct/2025 09:19:53] "GET / HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:20:20] "GET / HTTP/1.1" 304 -
58.65.214.29 - - [16/Oct/2025 09:20:20] code 404, message File not found
58.65.214.29 - - [16/Oct/2025 09:20:20] "GET /config.91.99.219.182.json?cachebuster=1760606420876 HTTP/1.1" 404 -
58.65.214.29 - - [16/Oct/2025 09:20:21] "GET /config.json?cachebuster=1760606420876 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:20:21] "GET /version HTTP/1.1" 304 -
58.65.214.29 - - [16/Oct/2025 09:20:42] "GET /?loginToken=IwC1d8h2acqosK74Gt1T2iy63pxZD1Co HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:20:42] "GET /config.json?cachebuster=1760606442593 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:20:42] code 404, message File not found
58.65.214.29 - - [16/Oct/2025 09:20:42] "GET /config.91.99.219.182.json?cachebuster=1760606442593 HTTP/1.1" 404 -
58.65.214.29 - - [16/Oct/2025 09:20:43] "GET /version HTTP/1.1" 304 -
58.65.214.29 - - [16/Oct/2025 09:20:45] "GET /bundles/6f661f6f3f18a5415d5a/indexeddb.worker.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:20:51] "GET /img/cancel.12c5c12.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:20:56] "GET /img/element-icons/roomlist/plus.6bf6398.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:20:56] "GET /img/element-icons/camera.6ef82ed.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:20:56] "GET /img/element-icons/group-members.483392b.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:20:56] "GET /img/element-icons/feedback.94401b2.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:20:56] "GET /img/element-icons/context-menu.131c13c.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:20:56] "GET /img/feather-customised/chevron-down.663d060.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:20:57] "GET /img/element-icons/plus.baac2b4.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:20:57] "GET /img/element-icons/roomlist/search.df3ab87.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:20:57] "GET /img/element-icons/home.70cb677.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:20:57] "GET /img/element-icons/settings.0c529f2.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:20:57] "GET /img/element-icons/roomlist/explore.3bcee74.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:09] code 400, message Bad request version ('\\x93\\x84Q*¶ØêG')
58.65.214.29 - - [16/Oct/2025 09:21:09] "\x16\x03\x01\x06à\x01\x00\x06Ü\x03\x03\x93é\x96mò\x00p\x12\x85l¢\x80\x0e\x1f\\\x1däH\x17¾)>¿¸#\x9e6\x8a(\x8fÉ6 È>ì¼öàUF\x8f;ï\x1c­\x00\x02(³\x93g\x89Ã\x07\x8f×qöd#g*°ú\x00 ÊÊ\x13\x01\x13\x02\x13\x03À+À/À,À0Ì©Ì¨À\x13À\x14\x00\x9c\x00\x9d\x00/\x005\x01\x00\x06szz\x00\x00\x003\x04ï\x04íJJ\x00\x01\x00\x11ì\x04À¡ÛÊrQÄZËÀ¼\x89\x8eÞl8ó×tT\x97pÀÚT]\x87\x16\x01ÓgTÙ_[Á,CâÏ\x1e\x93\x84Q*¶ØêG" 400 -
58.65.214.29 - - [16/Oct/2025 09:21:10] code 400, message Bad request version ('.\\x8e3')
58.65.214.29 - - [16/Oct/2025 09:21:10] "\x16\x03\x01\x07\x00\x01\x00\x06ü\x03\x03= \x07úÓ\x17L\x11\x0eÚÍÎ\x8b%b16¿ä\x14°«Û\x80\x8e)´-ë}\x86¤ m\x7fèÕ#\x1d\x1en\x19â^\x7f\x896í\x0bLì$\x05\x8cÔ$@\x08Ï%e\x8b\x86\x1f¤\x00 ÊÊ\x13\x01\x13\x02\x13\x03À+À/À,À0Ì©Ì¨À\x13À\x14\x00\x9c\x00\x9d\x00/\x005\x01\x00\x06\x93zz\x00\x00\x00\x1b\x00\x03\x02\x00\x02DÍ\x00\x05\x00\x03\x02h2\x00\x12\x00\x00þ\x0d\x01\x1a\x00\x00\x01\x00\x01\x0f\x00 ¼·[/\x86ÀñÌz\x94\x92ÿÞÈ[·õâ;×\x9a\x871\x1b\x9aàª\x9a\x14\x00íu\x00ðä\x87\x89ôeÆ\x03¯¹ðCg¤Û=\x98Od\x12]>þNÆX)tFËô\x0bø+¶i;öõêý\x99\x02\x15uÌ½ì#\x90\x14ý©<\x17È\x1aÁItn\x91)Öbt`Öf\x93^FE¤m^ë·>¯pEÏ\x99e^M\x1cn¬X¿\x94\x0b.\x8e3" 400 -
58.65.214.29 - - [16/Oct/2025 09:21:13] "GET / HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:13] "GET /fonts/Inter/Inter-BoldItalic.57f0f97.woff2 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:13] "GET /fonts/Inter/Inter-Bold.7824a90.woff2 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:13] "GET /fonts/Inter/Inter-SemiBoldItalic.17942dd.woff2 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:13] "GET /bundles/6f661f6f3f18a5415d5a/bundle.css HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:13] "GET /fonts/Inter/Inter-MediumItalic.2bbf830.woff2 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:13] "GET /fonts/Inter/Inter-SemiBold.d5a91eb.woff2 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:14] "GET /fonts/Inter/Inter-Medium.6be58ea.woff2 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:15] "GET /fonts/Inter/Inter-Regular.bed7225.woff2 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:15] "GET /bundles/6f661f6f3f18a5415d5a/unhomoglyph_data.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:15] "GET /fonts/Inter/Inter-Italic.faebbae.woff2 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:15] "GET /bundles/6f661f6f3f18a5415d5a/bundle.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:19] "GET /bundles/6f661f6f3f18a5415d5a/230.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:19] "GET /bundles/6f661f6f3f18a5415d5a/641.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:19] "GET /bundles/6f661f6f3f18a5415d5a/styles.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:19] "GET /bundles/6f661f6f3f18a5415d5a/element-web-app.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:19] "GET /img/format/bold.1075338.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:19] "GET /img/feather-customised/warning-triangle.12e6910.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:20] "GET /img/format/quote.69dadd8.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:20] "GET /img/format/italics.395da20.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:20] "GET /img/warning.30e1625.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:20] "GET /img/e2e/warning.d370b49.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:21] "GET /img/format/strikethrough.bc12eda.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:21] "GET /img/format/code.ee67228.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:21] "GET /bundles/6f661f6f3f18a5415d5a/48.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:21] "GET /bundles/6f661f6f3f18a5415d5a/init.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:21] "GET /media/message.ogg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:22] "GET /media/ring.ogg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:22] "GET /media/ringback.ogg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:22] "GET /media/callend.ogg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:22] "GET /media/busy.ogg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:23] "GET /olm.3fc8dbf.wasm HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:23] code 404, message File not found
58.65.214.29 - - [16/Oct/2025 09:21:23] "GET /config.91.99.219.182.json?cachebuster=1760606482844 HTTP/1.1" 404 -
58.65.214.29 - - [16/Oct/2025 09:21:24] "GET /config.json?cachebuster=1760606482845 HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:24] "GET /vector-icons/favicon.ae636ac.ico HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:24] "GET /bundles/6f661f6f3f18a5415d5a/blurhash.worker.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:24] "GET /media/error.ogg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:25] "GET /bundles/6f661f6f3f18a5415d5a/theme-dark.css HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:25] "GET /i18n/languages.8705728.json HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:26] "GET /i18n/en_EN.cb5ed01.json HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:28] "GET /bundles/6f661f6f3f18a5415d5a/compatibility-view.css HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:28] "GET /bundles/6f661f6f3f18a5415d5a/compatibility-view.js HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:28] "GET /themes/element/img/logos/element-logo.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:28] "GET /themes/element/img/download/apple.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:28] "GET /themes/element/img/download/google.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:28] "GET /themes/element/img/download/fdroid.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:32] "GET /img/download.a6b50e0.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:32] "GET /version HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:35] "GET /img/spinner/spinner-background.334d97c.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:35] "GET /img/spinner/spinner-foreground.962dd16.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:35] "GET /bundles/6f661f6f3f18a5415d5a/theme-light.css HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:35] "GET /welcome.html HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:35] "GET /themes/element/img/backgrounds/lake.jpg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:35] "GET /img/feather-customised/dropdown-arrow.df9edbf.svg HTTP/1.1" 200 -
58.65.214.29 - - [16/Oct/2025 09:21:36] "GET /welcome/images/icon-sign-in.svg HTTP/1.1" 200 -
